GPT Name,Emoji,Description,Category,Price,URL GPTs,Use Case Example,Featured ⭐,Sector
BOSSA AI OS — Executive Command Center,🎛,"Internal restaurant command center for BOSSA Asado i Mar: signals, weekly brief, decisions, actions, and learning loop.",🧠 AI Tools & Development,299,https://chatgpt.com/g/g-6a04d00cf9908191a3138cacbdfcc2b7-bossa-ai-os-executive-command-center,Run your restaurant from one AI-powered operating dashboard instead of scattered notes and chats.,Yes,Curaçao
BOSSA Market Intelligence GPT,🔥,"Competitor and market intelligence agent for Pietermaai, Avila area, promos, pricing moves, and threat tracking.",🍽 Hospitality & Food Service,149,https://github.com/sahidattaf/bossa-ai-os,Know what competitors changed this week and decide how BOSSA should respond.,Yes,Curaçao
BOSSA Weekly AI Brief GPT,🧠,"Weekly executive briefing agent that turns market signals, menu movement, pricing pressure, and owner notes into a clear action brief.",📈 Marketing & Business Growth,99,https://github.com/sahidattaf/bossa-ai-os,Generate one weekly brief with threats, opportunities, decisions, owners, and deadlines.,Yes,Curaçao
BOSSA Decision Log GPT,🧾,"Decision intelligence agent for logging restaurant decisions, reasons, supporting data, outcomes, and adjustments.",🧠 AI Tools & Development,79,https://github.com/sahidattaf/bossa-ai-os,Track why each decision was made and learn from the result every week.,Yes,Curaçao
BOSSA Action Engine GPT,📢,"Execution agent that converts BOSSA briefs and owner input into assigned actions, priorities, due dates, and follow-up loops.",🍽 Hospitality & Food Service,99,https://github.com/sahidattaf/bossa-ai-os,Turn insights into staff tasks, campaign moves, pricing tests, and weekly follow-through.,Yes,Curaçao
Finance & Investment — Stealth COO GPT,📊,"Finance/Investment sector operator: stealth REIT ops, AI lattice logic, and investor intel",📊 Finance & Investment,199,link,Unlock 25% higher IRR with AI-driven stealth investment strategies.,Yes,Business
Legal & Real Estate — Unified Advisor GPT,⚖️,Legal + real estate sector advisor (multilingual) for stakeholders and compliance,⚖️ Legal & Compliance,99,link,Navigate real estate and legal complexities with AI precision.,Yes,Business
Restaurant Ops — AI Operations Manager,🍽,Restaurant/hospitality operations manager (multilingual) for streamlined daily ops,🍽 Hospitality & Food Service,79,link,Cut operational costs by 30% with AI-driven hospitality systems.,Yes,Curaçao
Marketing — Growth Strategist GPT,📈,Marketing & growth sector strategist for real-time insights and optimization (multilingual),📈 Marketing & Business Growth,79,link,Boost your campaign ROI with AI-driven multilingual marketing insights.,Yes,Business
Education — Community AI Coach,📚,Education/coaching sector guide to explore AI through storytelling and practical tools (multilingual),📚 Education & Coaching,49,link,Empower communities through multilingual AI cultural programs.,Yes,Education
Sustainability — Eco Infrastructure Architect GPT,🌿,Sustainability sector architect for eco-integrated coastal infrastructure with deep contextual analysis,🌿 Sustainability & Eco Solutions,79,link,Reduce environmental impact by 50% in your coastal developments.,Yes,Business
Real Estate Development — Master Orchestrator GPT,🏢,Real estate & construction sector orchestrator for large development phases and prompt ecosystem ops,🏢 Real Estate & Construction,199,link,Manage mega-development phases with AI-driven precision.,Yes,Curaçao
Restaurant Marketing — Campaign Strategist GPT,🍽,Restaurant/hospitality marketing strategist (multilingual) for campaigns and promotions,🍽 Hospitality & Food Service,79,link,Increase restaurant sales by 40% with AI-targeted campaigns.,Yes,Curaçao
Finance — Investment Oracle GPT,📊,Finance sector financial modeler for green public-private zones and project capital planning,📊 Finance & Investment,99,link,Identify optimal capital structures for maximum ROI.,Yes,Business
Business Strategy — Global Benchmarking GPT,📈,Business strategy and market benchmarking GPT (multilingual) for global precedents and positioning,📈 Marketing & Business Growth,79,link,Gain competitive edge with multilingual global benchmarking.,Yes,Business
Restaurant Ops — Shift Planning GPT,🍽,Restaurant operations planner for shift plans and service flow (deep reasoning),🍽 Hospitality & Food Service,49,link,Save 10 staff hours weekly with automated ops planning.,No,Curaçao
Restaurant — Menu Design GPT,🍽,Restaurant menu designer (multilingual) focused on fire/grill concepts and profitability,🍽 Hospitality & Food Service,49,link,Increase check average by 15% with AI menu optimization.,No,Curaçao
Restaurant Analytics — Insights GPT,🍽,"Restaurant analytics strategist for KPI insights, trends, and decision support (multilingual)",🍽 Hospitality & Food Service,49,link,Spot trends early and boost revenue by data-led decisions.,No,Curaçao
Restaurant Service — Reservations & Seating GPT,🍽,Restaurant reservations + seating logic (multilingual) to match guests with ambiance and flow,🍽 Hospitality & Food Service,39,link,Increase repeat visits by 25% with personalized seating logic.,No,Curaçao
Restaurant Loyalty — Rewards Strategist GPT,🍽,"Restaurant loyalty strategist (multilingual) for tiers, perks, and retention",🍽 Hospitality & Food Service,39,link,Boost return customers with targeted loyalty rewards.,No,Curaçao
Real Estate — Sales Manager GPT,🏢,"Real estate sector sales manager for listings, lead handling, and closing support",🏢 Real Estate & Construction,79,link,Increase property sales velocity by 35%.,No,Curaçao
Real Estate — Sustainable Architect GPT,🏢,Real estate sector architect focused on sustainable design and cost-efficient planning,🏢 Real Estate & Construction,79,link,Reduce build cost by 20% with AI design efficiencies.,No,Curaçao
Real Estate Finance — Advisor GPT,📊,"Real estate finance advisor for underwriting, proposals, and capital structuring",📊 Finance & Investment,79,link,Secure financing faster with AI-structured proposals.,No,Business
Legal — Compliance Manager GPT,⚖️,"Legal/compliance advisor for foreign investment, due diligence, and regulatory review",⚖️ Legal & Compliance,79,link,Avoid costly compliance issues with automated legal review.,No,Business
